"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2022","0.3368","0.3345","0.3427","0.3321","55.11M","0.71%"
"08/19/2022","0.3344","0.3703","0.3706","0.3295","116.49M","-9.68%"
"08/18/2022","0.3703","0.3796","0.3812","0.3692","70.05M","-2.41%"
"08/17/2022","0.3794","0.3769","0.3920","0.3682","95.13M","0.66%"
"08/16/2022","0.3769","0.3752","0.3783","0.3666","54.22M","0.47%"
"08/15/2022","0.3752","0.3756","0.3851","0.3659","46.38M","-0.13%"
"08/14/2022","0.3756","0.3780","0.3922","0.3740","38.54M","-0.61%"
"08/13/2022","0.3780","0.3796","0.3875","0.3763","26.58M","-0.41%"
"08/12/2022","0.3795","0.3802","0.3805","0.3701","46.42M","-0.18%"
"08/11/2022","0.3802","0.3814","0.3856","0.3772","57.06M","-0.30%"
"08/10/2022","0.3814","0.3673","0.3816","0.3586","67.37M","3.83%"
"08/09/2022","0.3673","0.3787","0.3800","0.3606","60.04M","-3.01%"
"08/08/2022","0.3787","0.3723","0.3846","0.3715","43.98M","1.72%"
"08/07/2022","0.3723","0.3714","0.3769","0.3681","16.81M","0.25%"
"08/06/2022","0.3714","0.3764","0.3776","0.3707","16.83M","-1.33%"
"08/05/2022","0.3764","0.3711","0.3784","0.3673","49.61M","1.47%"
"08/04/2022","0.3709","0.3695","0.3750","0.3643","59.88M","0.37%"
"08/03/2022","0.3695","0.3716","0.3773","0.3632","69.22M","-0.54%"
"08/02/2022","0.3716","0.3790","0.3941","0.3668","93.42M","-1.98%"
"08/01/2022","0.3790","0.3791","0.3859","0.3713","53.65M","-0.03%"
"07/31/2022","0.3792","0.3879","0.3986","0.3783","52.16M","-2.25%"
"07/30/2022","0.3879","0.3679","0.4098","0.3631","77.80M","5.51%"
"07/29/2022","0.3677","0.3738","0.3797","0.3596","69.19M","-1.63%"
"07/28/2022","0.3737","0.3595","0.3792","0.3495","81.34M","3.96%"
"07/27/2022","0.3595","0.3373","0.3597","0.3305","78.50M","6.55%"
"07/26/2022","0.3374","0.3360","0.3385","0.3256","83.85M","0.55%"
"07/25/2022","0.3355","0.3586","0.3601","0.3350","53.34M","-6.45%"
"07/24/2022","0.3587","0.3592","0.3667","0.3560","30.44M","-0.16%"
"07/23/2022","0.3592","0.3578","0.3627","0.3498","32.76M","0.41%"
"07/22/2022","0.3578","0.3668","0.3714","0.3542","48.27M","-2.48%"
"07/21/2022","0.3669","0.3636","0.3685","0.3488","62.16M","0.96%"
"07/20/2022","0.3634","0.3729","0.3816","0.3575","82.99M","-2.58%"
"07/19/2022","0.3730","0.3653","0.3765","0.3515","92.16M","2.13%"
"07/18/2022","0.3652","0.3434","0.3700","0.3430","91.23M","6.39%"
"07/17/2022","0.3433","0.3505","0.3613","0.3425","43.86M","-2.08%"
"07/16/2022","0.3506","0.3341","0.3561","0.3313","52.15M","4.93%"
